case_id,stock_code,risk_unit_id,risk_code,gold_status,gold_level,gold_evidence_count,parser_status,candidate_status,first_gold_rank,agent_consumed,parser_anchor_available,candidate_evidence_count,agent_consumed_evidence_count,deterministic_candidate_present,llm_task_expected,llm_request_attempted,llm_request_success,llm_structured_valid,llm_scope_valid,llm_candidate_present,llm_applicable,llm_abstained,llm_failure_kind,extraction_status,builder_status,builder_risk_present,normalization_attempted,normalization_success,normalization_issue_codes,reconciliation_attempted,reconciliation_success,candidate_after_reconciliation,reconciliation_issue_codes,verifier_invoked,verifier_outcome,verifier_issue_codes,final_present,final_bucket,final_status,final_level,final_calculation_present,gold_calculation_key,gold_calculation_value,predicted_calculation_key,predicted_calculation_value,calculation_absolute_delta,calculation_relative_delta,calculation_unit,calculation_formula,calculation_match_reason,final_evidence_ids,status_match,level_match,calculation_match,evidence_hit,m1_correct,primary_root_cause,secondary_observations,proof_level,proof_artifact
ipo_2021_01024,1024.HK,13ef012439ec79c19f2bf1ec157f376f0c5b951c805f735dd4ee2f98a08300f3,redemption_rights,needs_review,medium,2,preserved,"[""agent_consumed_success"", ""retrieval_candidate_miss""]",1,True,True,20,1,False,True,True,True,True,True,True,True,False,,extracted,built,True,True,True,[],True,UNAVAILABLE,UNAVAILABLE,[],True,pending,"[""holder_not_supported_by_evidence"", ""conflicting_rights_lifecycle_evidence""]",True,pending,needs_review,medium,False,,,,,,,,,NOT_REQUIRED_BY_EXISTING_GOLD,"[""7bae08f1-9fbe-50df-a592-5eed1a094f45""]",True,True,True,True,True,correct,[],PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
ipo_2021_01024,1024.HK,e511f952c63cbc0c75fa20000d0e9934b714d623e5963ec2999edf786cac3fa1,supplier_concentration,needs_review,,1,preserved,"[""agent_consumed_success""]",1,True,True,20,1,False,False,False,False,,,,,,,needs_review,UNAVAILABLE,False,False,,[],True,UNAVAILABLE,UNAVAILABLE,[],False,UNAVAILABLE,[],False,,,,False,,,,,,,,,RISK_NOT_POSITIVE,[],False,False,False,False,False,wrong_period_selection,"[""value_period_count_mismatch"", ""incomplete_concentration_values""]",PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
ipo_2021_02190,2190.HK,d624ea2402e9b9509874ffa3e0b417a647313f7d0c1f4fc716144bae66d6aa43,cash_runway,verified,medium,2,preserved,"[""retrieval_candidate_miss""]",,False,True,0,0,False,False,False,False,,,,,,,needs_review,UNAVAILABLE,False,False,,[],True,UNAVAILABLE,UNAVAILABLE,[],False,UNAVAILABLE,[],False,,,,False,,,,,,,,,RISK_NOT_POSITIVE,[],False,False,False,False,False,retrieval_candidate_miss,"[""retrieval_candidate_miss""]",PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
ipo_2021_02190,2190.HK,4ac319ec5d1724c2d5a4482dab14e1a1fb036d21f3fd048b629c27b73d5c9c7b,customer_concentration,verified,high,2,preserved,"[""agent_consumed_success"", ""retrieval_candidate_miss""]",2,True,True,20,1,True,False,False,False,,,,,,,risk_generated,UNAVAILABLE,True,False,,[],True,UNAVAILABLE,UNAVAILABLE,[],True,verified,[],True,verified,verified,high,True,,,,largest=78.3;top_five=87.8,,,percent,use disclosed percentage points without rescaling,NOT_REQUIRED_BY_EXISTING_GOLD,"[""8146487c-e07b-5683-b8b6-195114c274cc"", ""8bcaec7d-9a3e-5ac4-9644-a696eb45c880"", ""63c0eda3-a4c1-50fe-87ad-93058ef528e4"", ""35025536-eb7a-5b52-99ec-2e6c985d459b""]",True,True,True,True,True,correct,[],PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
ipo_2021_02190,2190.HK,ea29a129f268cbdad5a03b80f5a58f41894a12870bf9345deb2ef9e2a7df9f57,redemption_rights,needs_review,medium,2,preserved,"[""agent_consumed_success""]",1,True,True,3,2,False,True,True,True,True,True,True,True,False,,extracted,built,True,True,True,[],True,UNAVAILABLE,UNAVAILABLE,[],True,pending,"[""holder_not_supported_by_evidence""]",True,pending,needs_review,medium,False,,,,,,,,,NOT_REQUIRED_BY_EXISTING_GOLD,"[""292b7989-df4a-597b-9a7e-aa8904fc4676"", ""3b6e69d9-8dc7-5365-9d16-36480bc3db51""]",True,True,True,True,True,correct,[],PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
ipo_2021_02190,2190.HK,3a7f735b3b3297d8846a67a5d3d8a0e804d352b760c51a33f1518cdf858b5321,supplier_concentration,verified,high,2,preserved,"[""agent_consumed_success""]",2,True,True,16,2,True,False,False,False,,,,,,,risk_generated,UNAVAILABLE,True,False,,[],True,UNAVAILABLE,UNAVAILABLE,[],True,verified,[],True,verified,verified,medium,True,,,,largest=31.0;top_five=51.0,,,percent,use disclosed percentage points without rescaling,NOT_REQUIRED_BY_EXISTING_GOLD,"[""910c4a52-a885-52af-90a7-c361da23b9a8"", ""a357b187-25e0-54b7-a143-ab14bd394254"", ""63c0eda3-a4c1-50fe-87ad-93058ef528e4"", ""35025536-eb7a-5b52-99ec-2e6c985d459b""]",True,False,True,True,False,level_mismatch,[],PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
ipo_2021_06628,6628.HK,111926b71d24f28ad1d60a58ec102db7af58e7be534c22e7c3c61057098f92cc,customer_concentration,verified,high,3,preserved,"[""agent_consumed_success"", ""parser_anchor_missing_everywhere"", ""retrieval_candidate_miss""]",2,True,True,20,1,True,False,False,False,,,,,,,risk_generated,UNAVAILABLE,True,False,,[],True,UNAVAILABLE,UNAVAILABLE,[],True,verified,[],True,verified,verified,high,True,,,,largest=63.7;top_five=88.7,,,percent,use disclosed percentage points without rescaling,NOT_REQUIRED_BY_EXISTING_GOLD,"[""1e6beb7a-c567-5000-89e6-c045358b6960"", ""671508fd-794a-565e-827f-60aeb3e8671a""]",True,True,True,True,True,correct,[],PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
ipo_2021_06628,6628.HK,dd398db1640ac16d723267497259b7af34eb88357354142c845fa72c1e233527,redemption_rights,needs_review,medium,2,preserved,"[""agent_consumed_success"", ""retrieved_page_anchor_truncated""]",1,True,True,16,1,False,True,True,True,True,True,False,False,True,,needs_review,needs_review,True,True,True,[],True,UNAVAILABLE,UNAVAILABLE,[],True,pending,"[""termination_waiver_restoration_context_incomplete"", ""holder_not_supported_by_evidence"", ""manual_legal_judgment_required""]",True,pending,needs_review,medium,False,,,,,,,,,NOT_REQUIRED_BY_EXISTING_GOLD,"[""b3bbeaf6-fbb4-5895-a6bb-ed2bf122d9fa""]",True,True,True,True,True,correct,[],PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
ipo_2021_06628,6628.HK,baccf4c5563f80392883edc70255b3a08f16a6a39c633fcacb9899945249c3b5,supplier_concentration,verified,medium,1,preserved,"[""agent_consumed_success""]",1,True,True,10,1,False,False,False,False,,,,,,,not_applicable,UNAVAILABLE,False,False,,[],True,UNAVAILABLE,UNAVAILABLE,[],False,UNAVAILABLE,[],False,,,,False,,,,,,,,,RISK_NOT_POSITIVE,[],False,False,False,False,False,deterministic_extraction_miss,[],PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
ipo_2022_06610,6610.HK,1eb8cb80f905aefbdf4a829d002463be0def9184aceea82db84e07a2b1ffa976,customer_concentration,verified,medium,1,missing,"[""parser_anchor_missing_everywhere""]",,False,False,20,0,False,False,False,False,,,,,,,not_applicable,UNAVAILABLE,False,False,,[],True,UNAVAILABLE,UNAVAILABLE,[],False,UNAVAILABLE,[],False,,,,False,,,,,,,,,RISK_NOT_POSITIVE,[],False,False,False,False,False,parser_text_missing,"[""no_anchor_preserved_any_page""]",PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
ipo_2022_06610,6610.HK,375db73c1ff7dbc94ad8017c74ba00b1abc190bd8cdee7cb831e61a4e05ce9d7,redemption_rights,needs_review,,1,missing,"[""parser_anchor_missing_everywhere""]",,False,False,18,0,False,True,True,True,True,True,True,True,False,,extracted,built,True,True,True,[],True,UNAVAILABLE,UNAVAILABLE,[],True,rejected,"[""holder_not_supported_by_evidence"", ""conflicting_rights_lifecycle_evidence"", ""historical_terminated_right_presented_as_current""]",True,rejected,rejected,,False,,,,,,,,,RISK_NOT_POSITIVE,"[""3acca924-b219-50cd-8056-caa4209af81d"", ""abcfe76f-6c55-5f8e-8911-00a0e036f3ad"", ""2af10e67-0689-588e-a8a8-565e1636a14d"", ""5c731a77-3b4e-50a9-8faa-6f27525b2eff"", ""931d33b6-d530-52ce-b595-021719d3e1c0""]",False,False,False,False,False,parser_text_missing,"[""no_anchor_preserved_any_page""]",PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
ipo_2022_06610,6610.HK,870494dd0795ffde4e8f48ff69d6622fcb002768d04f65c0cb7a164b322de4ca,supplier_concentration,verified,medium,1,missing,"[""parser_anchor_missing_everywhere""]",,False,False,20,0,False,False,False,False,,,,,,,not_applicable,UNAVAILABLE,False,False,,[],True,UNAVAILABLE,UNAVAILABLE,[],False,UNAVAILABLE,[],False,,,,False,,,,,,,,,RISK_NOT_POSITIVE,[],False,False,False,False,False,parser_text_missing,"[""no_anchor_preserved_any_page""]",PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
ipo_2023_01274,1274.HK,2315deb170afd525c820dc7964ad4627d9d3dc4ac61f8b0d297bf91f8e3395de,cash_runway,verified,medium,2,preserved,"[""retrieval_candidate_miss""]",,False,True,0,0,False,False,False,False,,,,,,,needs_review,UNAVAILABLE,False,False,,[],True,UNAVAILABLE,UNAVAILABLE,[],False,UNAVAILABLE,[],False,,,,False,months,10.88155584678915,,,,,,,RISK_NOT_POSITIVE,[],False,False,False,False,False,retrieval_candidate_miss,"[""retrieval_candidate_miss""]",PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
ipo_2023_01274,1274.HK,dca324e98e789e5c91d1c08511b16490a6b25ceef0af876479bce3b3eb928bda,customer_concentration,verified,high,1,preserved,"[""agent_consumed_success""]",9,True,True,20,1,True,False,False,False,,,,,,,risk_generated,UNAVAILABLE,True,False,,[],True,UNAVAILABLE,UNAVAILABLE,[],True,verified,[],True,verified,verified,high,True,,,,largest=95.0;top_five=99.0,,,percent,use disclosed percentage points without rescaling,NOT_REQUIRED_BY_EXISTING_GOLD,"[""5157c12f-04d8-5091-b136-1fff292e0677"", ""5ad63264-787e-5a3f-ab64-4777991504a8"", ""a0a62a7b-d2b4-57d4-a34a-7180a332fdad"", ""f16396ee-131c-571a-a763-ae834dc9fb95"", ""b011e4a2-23f6-52cb-bca6-fefba3e09de1"", ""6c4664ae-34fb-5025-9b39-aa538e25cc2d""]",True,True,True,True,True,correct,[],PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
ipo_2023_01274,1274.HK,75fecb305302d63b727d53df354447891c2c0e0306e30bb27523de723b794b17,supplier_concentration,verified,high,1,preserved,"[""agent_consumed_success""]",5,True,True,20,1,True,False,False,False,,,,,,,risk_generated,UNAVAILABLE,True,False,,[],True,UNAVAILABLE,UNAVAILABLE,[],True,verified,[],True,verified,verified,high,True,,,,largest=90.3;top_five=95.0,,,percent,use disclosed percentage points without rescaling,NOT_REQUIRED_BY_EXISTING_GOLD,"[""bd3798d0-a4a3-517d-b9a9-e7a72572a2a6"", ""5c8168f6-3ebe-5fb0-9d3c-5ae8fc13696d"", ""a52713da-a28b-59e1-bf59-f93d67baf6ec"", ""109fe7dc-4c74-5f5f-a131-2dab54815e65"", ""6c4664ae-34fb-5025-9b39-aa538e25cc2d"", ""5ad63264-787e-5a3f-ab64-4777991504a8""]",True,True,True,True,True,correct,[],PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
ipo_2023_02105,2105.HK,9a8fe93bbd6ed4ead33f0e3066c3199d76bbd3f2171baa2d8c57ffe51baf0fcc,customer_concentration,needs_review,,1,preserved,"[""agent_consumed_success""]",2,True,True,20,1,False,False,False,False,,,,,,,not_found,UNAVAILABLE,False,False,,[],True,UNAVAILABLE,UNAVAILABLE,[],False,UNAVAILABLE,[],False,,,,False,,,,,,,,,RISK_NOT_POSITIVE,[],False,False,False,False,False,deterministic_extraction_miss,"[""concentration_label_not_found""]",PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
ipo_2023_02105,2105.HK,ea926b406fe335561d3f198eae22825f8793a41287dd97c2dd810caf869d5408,redemption_rights,needs_review,medium,1,preserved,"[""agent_consumed_success""]",4,True,True,11,1,False,True,True,True,True,True,False,False,True,,needs_review,needs_review,True,True,True,[],True,UNAVAILABLE,UNAVAILABLE,[],True,rejected,"[""holder_not_supported_by_evidence"", ""historical_terminated_right_presented_as_current"", ""manual_legal_judgment_required""]",True,rejected,rejected,,False,,,,,,,,,RISK_NOT_POSITIVE,"[""2427b9b8-2dec-5d75-9169-4e6b2b838032"", ""73357993-8606-5bda-9cf4-e7c814367d29"", ""f4b27ef2-5f54-59ad-bc38-fadf2c9b461a""]",False,False,False,False,False,llm_abstention_with_sufficient_evidence,"[""restoration_status_not_established"", ""restoration_clause_ambiguous""]",PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
ipo_2023_02105,2105.HK,88b440d46950930b25e0b7e817de05e88e8f99c538c15c99aeea44b502143972,supplier_concentration,verified,medium,1,preserved,"[""agent_consumed_success""]",2,True,True,16,1,True,False,False,False,,,,,,,risk_generated,UNAVAILABLE,True,False,,[],True,UNAVAILABLE,UNAVAILABLE,[],True,verified,[],True,verified,verified,medium,True,,,,largest=35.4;top_five=67.2,,,percent,use disclosed percentage points without rescaling,NOT_REQUIRED_BY_EXISTING_GOLD,"[""c0cc3fae-aec2-560c-822b-3de61d213875""]",True,True,True,True,True,correct,[],PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
ipo_2023_06682,6682.HK,ee3c32eb8eda1d0c23d6d6e301cbdaa0cfdc1f414d3f07691bfe0180cc377b84,cash_runway,verified,medium,2,preserved,"[""retrieval_candidate_miss""]",,False,True,0,0,False,False,False,False,,,,,,,needs_review,UNAVAILABLE,False,False,,[],True,UNAVAILABLE,UNAVAILABLE,[],False,UNAVAILABLE,[],False,,,,False,months,9.270949738839708,,,,,,,RISK_NOT_POSITIVE,[],False,False,False,False,False,retrieval_candidate_miss,"[""retrieval_candidate_miss""]",PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
ipo_2023_06682,6682.HK,300ee62c5fda5866ffd273f7f7fdb7aa8511eb9b42a4632c4589efd7243c9e40,redemption_rights,needs_review,medium,1,preserved,"[""agent_consumed_success""]",9,True,True,14,1,False,True,True,True,True,True,True,True,False,,extracted,built,True,True,True,[],True,UNAVAILABLE,UNAVAILABLE,[],True,pending,"[""holder_not_supported_by_evidence""]",True,pending,needs_review,medium,False,,,,,,,,,NOT_REQUIRED_BY_EXISTING_GOLD,"[""1e0c3408-8266-5a81-a1ba-6b0939c8297a"", ""10aed023-d7ae-5979-9381-d8b76c011341"", ""73b1a2df-026a-5e6c-9fb2-fab75b2d582d""]",True,True,True,False,False,final_evidence_not_retained,[],PROVEN,pipeline_trace+analysis_result.agent_logs+llm_call_quality+risk_benchmark
