task_index,taskset_version,case_id,stock_code,company_name,source_year,dataset_split,primary_annotator,primary_status,second_pass_annotator,second_pass_status,adjudication_status,final_status,notes
47,expert_golden_100_v1,ipo_2022_02145,2145.HK,上美股份,2022,development,chatgpt_codex,completed,,not_started,not_started,not_started,
48,expert_golden_100_v1,ipo_2022_02179,2179.HK,瑞科生物－Ｂ,2022,development,chatgpt_codex,completed,,not_started,not_started,not_started,
49,expert_golden_100_v1,ipo_2022_02237,2237.HK,中國石墨,2022,development,chatgpt_codex,completed,,not_started,not_started,not_started,
50,expert_golden_100_v1,ipo_2022_02372,2372.HK,偉立控股,2022,development,chatgpt_codex,completed,,not_started,not_started,not_started,
51,expert_golden_100_v1,ipo_2022_02407,2407.HK,高視醫療,2022,development,chatgpt_codex,completed,,not_started,not_started,not_started,
52,expert_golden_100_v1,ipo_2022_02450,2450.HK,淮北綠金股份,2022,development,chatgpt_codex,completed,,not_started,not_started,not_started,
53,expert_golden_100_v1,ipo_2022_02602,2602.HK,萬物雲,2022,development,chatgpt_codex,completed,,not_started,not_started,not_started,
54,expert_golden_100_v1,ipo_2022_06610,6610.HK,飛天雲動,2022,development,chatgpt_codex,completed,,not_started,not_started,not_started,
55,expert_golden_100_v1,ipo_2022_06698,6698.HK,星空華文,2022,development,chatgpt_codex,completed,,not_started,not_started,not_started,
56,expert_golden_100_v1,ipo_2022_06922,6922.HK,康灃生物－Ｂ,2022,development,chatgpt_codex,completed,,not_started,not_started,not_started,
57,expert_golden_100_v1,ipo_2022_09638,9638.HK,法拉帝,2022,development,chatgpt_codex,completed,,not_started,not_started,not_started,
58,expert_golden_100_v1,ipo_2022_09863,9863.HK,零跑汽車,2022,development,chatgpt_codex,completed,,not_started,not_started,not_started,
59,expert_golden_100_v1,ipo_2022_09886,9886.HK,叮噹健康,2022,development,chatgpt_codex,completed,,not_started,not_started,not_started,
60,expert_golden_100_v1,ipo_2022_09985,9985.HK,衛龍,2022,development,chatgpt_codex,completed,,not_started,not_started,not_started,
61,expert_golden_100_v1,ipo_2023_00666,0666.HK,瑞浦蘭鈞,2023,development,,not_started,,not_started,not_started,not_started,
62,expert_golden_100_v1,ipo_2023_01111,1111.HK,華視集團控股,2023,development,,not_started,,not_started,not_started,not_started,
63,expert_golden_100_v1,ipo_2023_01274,1274.HK,知行汽車科技,2023,development,,not_started,,not_started,not_started,not_started,
64,expert_golden_100_v1,ipo_2023_01405,1405.HK,達勢股份,2023,development,,not_started,,not_started,not_started,not_started,
65,expert_golden_100_v1,ipo_2023_01541,1541.HK,宜明昂科－Ｂ,2023,development,,not_started,,not_started,not_started,not_started,
66,expert_golden_100_v1,ipo_2023_01973,1973.HK,天圖投資,2023,development,,not_started,,not_started,not_started,not_started,
67,expert_golden_100_v1,ipo_2023_02105,2105.HK,來凱醫藥－Ｂ,2023,development,,not_started,,not_started,not_started,not_started,
68,expert_golden_100_v1,ipo_2023_02268,2268.HK,藥明合聯,2023,development,,not_started,,not_started,not_started,not_started,
69,expert_golden_100_v1,ipo_2023_02405,2405.HK,力盟科技,2023,development,,not_started,,not_started,not_started,not_started,
70,expert_golden_100_v1,ipo_2023_02451,2451.HK,綠源集團控股,2023,development,,not_started,,not_started,not_started,not_started,
71,expert_golden_100_v1,ipo_2023_02473,2473.HK,喜相逢集團,2023,development,,not_started,,not_started,not_started,not_started,
72,expert_golden_100_v1,ipo_2023_02486,2486.HK,普樂師集團控股,2023,development,,not_started,,not_started,not_started,not_started,
73,expert_golden_100_v1,ipo_2023_02501,2501.HK,邁越科技,2023,development,,not_started,,not_started,not_started,not_started,
74,expert_golden_100_v1,ipo_2023_02503,2503.HK,中深建業,2023,development,,not_started,,not_started,not_started,not_started,
75,expert_golden_100_v1,ipo_2023_02511,2511.HK,君聖泰醫藥－Ｂ,2023,development,,not_started,,not_started,not_started,not_started,
76,expert_golden_100_v1,ipo_2023_02517,2517.HK,鍋圈,2023,development,,not_started,,not_started,not_started,not_started,
77,expert_golden_100_v1,ipo_2023_02521,2521.HK,升輝清潔,2023,development,,not_started,,not_started,not_started,not_started,
78,expert_golden_100_v1,ipo_2023_06682,6682.HK,第四範式,2023,development,,not_started,,not_started,not_started,not_started,
79,expert_golden_100_v1,ipo_2023_09690,9690.HK,途虎－Ｗ,2023,development,,not_started,,not_started,not_started,not_started,
80,expert_golden_100_v1,ipo_2023_09930,9930.HK,宏信建發,2023,development,,not_started,,not_started,not_started,not_started,
81,expert_golden_100_v1,ipo_2024_00300,0300.HK,美的集團,2024,validation,,not_started,,not_started,not_started,not_started,
82,expert_golden_100_v1,ipo_2024_00805,0805.HK,新吉奧房車,2024,validation,,not_started,,not_started,not_started,not_started,
83,expert_golden_100_v1,ipo_2024_00999,0999.HK,小菜園,2024,validation,,not_started,,not_started,not_started,not_started,
84,expert_golden_100_v1,ipo_2024_01318,1318.HK,毛戈平,2024,validation,,not_started,,not_started,not_started,not_started,
85,expert_golden_100_v1,ipo_2024_01471,1471.HK,眾淼控股,2024,validation,,not_started,,not_started,not_started,not_started,
86,expert_golden_100_v1,ipo_2024_02228,2228.HK,QUANTUMPH-P,2024,validation,,not_started,,not_started,not_started,not_started,
87,expert_golden_100_v1,ipo_2024_02410,2410.HK,同源康醫藥－Ｂ,2024,development_exception,,not_started,,not_started,not_started,not_started,
88,expert_golden_100_v1,ipo_2024_02431,2431.HK,佑駕創新,2024,validation,,not_started,,not_started,not_started,not_started,
89,expert_golden_100_v1,ipo_2024_02460,2460.HK,華潤飲料,2024,validation,,not_started,,not_started,not_started,not_started,
90,expert_golden_100_v1,ipo_2024_02495,2495.HK,聲通科技,2024,validation,,not_started,,not_started,not_started,not_started,
91,expert_golden_100_v1,ipo_2024_02506,2506.HK,訊飛醫療科技,2024,validation,,not_started,,not_started,not_started,not_started,
92,expert_golden_100_v1,ipo_2024_02519,2519.HK,傲基股份,2024,validation,,not_started,,not_started,not_started,not_started,
93,expert_golden_100_v1,ipo_2024_02533,2533.HK,黑芝麻智能,2024,validation,,not_started,,not_started,not_started,not_started,
94,expert_golden_100_v1,ipo_2024_02550,2550.HK,宜搜科技,2024,validation,,not_started,,not_started,not_started,not_started,
95,expert_golden_100_v1,ipo_2024_02567,2567.HK,七牛智能,2024,validation,,not_started,,not_started,not_started,not_started,
96,expert_golden_100_v1,ipo_2024_02585,2585.HK,夢金園,2024,validation,,not_started,,not_started,not_started,not_started,
97,expert_golden_100_v1,ipo_2024_02613,2613.HK,匯舸環保,2024,validation,,not_started,,not_started,not_started,not_started,
98,expert_golden_100_v1,ipo_2024_06657,6657.HK,百望股份,2024,validation,,not_started,,not_started,not_started,not_started,
99,expert_golden_100_v1,ipo_2024_06936,6936.HK,順豐控股,2024,validation,,not_started,,not_started,not_started,not_started,
100,expert_golden_100_v1,ipo_2024_09639,9639.HK,榮利營造,2024,validation,,not_started,,not_started,not_started,not_started,
